,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
AAC,ECC 256K1,DPOS,1000000000.0,1000000000,-0.2461522397203355,1.1795969002815552,11.383466577374413,Acute Angle Cloud,3
CRYP,Equihash,PoW,4235111504.0,7600000000,-0.04296098939820004,-1.9385453920597633,0.42123844179093345,CrypticCoin,1
BTXC,XEVAN,PoS,6787405.18013774,50000000,-0.2990588945564455,1.2711892762116097,-0.3134713675381183,Bettex coin,0
ACM,Lyra2Z,PoW,13634850.0,84000000,-0.15715348978874746,-2.198186878798414,0.3308788240425439,Actinium,1
BSV,SHA-256,PoW,17992514.6469233,21000000,-0.15198586529101224,-1.27333810306811,0.18397491420619438,Bitcoin SV,1
BITM,XEVAN,Pos,208515864.367343,70000000000,0.4461318891423038,1.0217484591996382,-0.6888596222387118,BitMoney,0
JMC,X11,PoS,17209923728.3266,0,-0.14274665017033142,1.1243391534051195,-0.09536923060502193,Junson Ming Chan Coin,0
FRED,CryptoNight,PoW,1867054873.28397,8080000000,0.3722783232064746,-2.3014163546393496,0.3277206822291924,FREDEnergy,1
HERB,Quark,PoW/PoS,35312185.7437239,54000000,-0.39545935801881943,1.6940101836735935,-0.48013541466745085,HerbCoin,0
UMO,Blake,PoW,1578281.31341127,105120001.44,-0.15734497572265096,-2.1456865164688113,0.4439931410778438,Universal Molecule,1
LIT,Blake,PoW,15846721.2482747,25228800,-0.15773670520980843,-2.145642445676511,0.4439951997736424,Lithium,1
PIRATE,Equihash,PoS,13475920.0,105000000,-0.2681193395004824,0.027170348264269128,0.21087688222792383,PirateCash,0
EXO,Exosis,PoW,406091.925,21000000,-0.16561257152775644,-2.26086786773908,0.39540256872882884,Exosis,1
BLTG,Scrypt,PoW,35284717.173946,120000000,-0.17010928260199068,-1.144206450020152,-0.07102763094492377,Block-Logic,1
OWC,Scrypt,PoW/PoS,14777549.3940764,21000000,-0.32607088262331246,0.9806597306936349,-0.563918819294891,Oduwa,0
BEAM,Equihash,PoW,35687520.0,262800000,-0.14626851969259935,-1.9370330620177603,0.4227676116722148,Beam,1
GALI,Quark,PoW/PoS,18265011.2486006,19035999,-0.3959154249434381,1.694018754320441,-0.4801288486967005,Galilel,0
BTH,Equihash,PoW,25150787.5,30886000,-0.14804057417208658,-1.9369290356446538,0.42278622456413656,Bithereum,1
CSPN,Quark,PoS,1934701.67524713,13370000,-0.3616068790824486,1.5333243100801566,-0.19912850975614874,Crypto Sports,0
CREDIT,Scrypt,PoW/PoS,30825710000.0296,74800000000,0.5803122100153127,0.9597303552163767,-0.5765878946507562,Credit,0
SLC,QuBit,PoW,12925790.4226959,100000000,-0.19478013288033336,-1.5257066069466068,0.16443975870136426,SLICE,1
DASHP,X11,PoS,715659.44237941,19700000,-0.3529065065366738,1.1164117873702637,-0.09118497936708725,Dash Platinum,0
NSD,Scrypt,PoW/PoS,20546528.2059957,84000000,-0.32555397997488056,0.9806328090541541,-0.5639245824859526,Nasdacoin,0
BEET,XEVAN,PoW/PoS,198938144.363399,500000000,-0.32807042763575606,1.4317560198912818,-0.5945452206106334,Beetle Coin,0
TTN,SHA-256D,PoW/PoS,896361168.0,5000000000,-0.28033799654792135,1.8304007029540958,-0.7042269625659394,Titan Coin,0
AWR,X11,PoW/PoS,15420234.5389336,420000000,-0.3844386256339997,1.276920218587663,-0.3722122344707128,Award,0
BLAST,SHA-256,PoW,52293836.6277958,64000000,-0.1512620083542152,-1.2733425075029647,0.18396359554048564,BLAST,1
XRC,X13,PoW,1170292.5,2100000,-0.11249977377563183,-0.3365260359995908,-0.026668947128639126,Bitcoin Rhodium,1
GLT,SHA-256,PoW,84613099.9999955,168000000,-0.15013013934243288,-1.2733764609814922,0.18394853730169908,GlobalToken,1
INSN,X11,PoW/PoS,23775960.3207514,30000000,-0.3870999752042306,1.2771071526628976,-0.3721872758795469,Insane Coin,0
ALX,DPoS,DPoS,1000000000.0,1000000000,3.73740886423924,1.7961294792724547,-0.2951429112753162,ALAX,0
LDOGE,Scrypt,PoW/PoS,15318887081.0146,35000000000,0.10880177175569909,0.971280041910551,-0.5700618807337843,LiteDoge,0
SLR,Scrypt,PoW,55565076.3863525,98100000000,0.5244042155872338,-1.1901948416976977,-0.07781349966074985,SolarCoin,1
TRK,X11,PoW/PoS,242574105.22384,0,-0.38463879838916215,1.2772219075465712,-0.3722384156298896,TruckCoin,0
UFO,NeoScrypt,PoW,3824685012.0,4000000000,-0.1130019722917037,-1.6535290736344213,0.14619529144393975,UFO Coin,1
OC,Scrypt,PoW/PoS,3537150.0,200000000,-0.32493988586839256,0.9805705254821211,-0.5639284735264265,OrangeCoin,0
BLC,Blake,PoW,23356790.1494191,7000000000,-0.1082231693938823,-2.1489133685933406,0.4435106677480966,BlakeCoin,1
BITS,Scrypt,PoW/PoS,20576532.0,54256119,-0.32576437220721094,0.9806467864312876,-0.5639225312882818,BitstarCoin,0
NEOS,SHA-256,PoS,4392258.24647793,21000000,-0.27261331541214034,0.6907951885340539,-0.027928830604406974,NeosCoin,0
HYPER,Scrypt,PoW/PoS,9631199.99309942,0,-0.326282573469753,0.9806672214769905,-0.5639161142481233,HyperCoin,0
PINK,X11,PoW/PoS,436353624.490312,500000000,-0.3787278849217393,1.2770763371530558,-0.37232015025855186,PinkCoin,0
CESC,Scrypt,PoW,780210700.0,1000000000,-0.15477066564832587,-1.1442768276928126,-0.07126971392231615,Crypto Escudo,1
ADC,Scrypt,PoW/PoS,980732528.97974,10500000000,-0.24001475903933084,0.9761847008497028,-0.5648789821808712,AudioCoin,0
NKA,SHA-256,PoW/PoS,17939725045.334,190000000,-0.08679125621251965,0.8596576546564539,-0.31329872390738867,IncaKoin,0
PIGGY,X11,PoW/PoS,494240666.028571,1000000000,-0.3744776006200979,1.276868241358934,-0.3723688331895636,Piggy Coin,0
CRW,SHA-256,PoW,22986929.0854247,42000000,-0.1517760311156268,-1.273345663758163,0.18397224611296958,Crown Coin,1
GEN,Scrypt,PoW/PoS,60000000.0,15000000,-0.32556077133150607,0.9806833547282875,-0.5639294030316728,Genstake,0
SMLY,Scrypt,PoW,29583989322.9213,50000000000,0.5444200951189937,-1.1540274956527057,-0.08166651409812264,SmileyCoin,1
MI,Scrypt,PoW/PoS,404316475.545465,400000000,-0.31862513649073193,0.9806610357346245,-0.5640397923351994,XiaoMiCoin,0
GRS,Groestl,PoW,73298203.8873662,105000000,-0.20527765714542853,-1.156855618015553,0.09011309309726966,Groestlcoin,1
CPC,X11,PoW/PoS,201364327.427503,208000000,-0.38366854463056466,1.2771052987941292,-0.37224278773796565,CapriCoin,0
CLUB,Scrypt,PoW/PoS,103621876.167052,160000000,-0.324000265095905,0.9806353538142545,-0.5639500477873999, ClubCoin,0
RADS,PoS,PoS,3821245.74150193,9000000,-0.36767282396086565,1.6911832170185521,-0.050821804376481546,Radium,0
BTA,Scrypt,PoW,5052555.91981545,5000000,-0.171293590557315,-1.1441663721828106,-0.07101231904917896,Bata,1
PAK,Scrypt,PoW,69684455.4387001,182000000,-0.16924959299835746,-1.1442197289189704,-0.07104028848703703,Pakcoin,1
CRB,X11,Proof of Trust,16901016.6609755,16504333,-0.3799610009170577,1.0212314453702298,0.3757811903704719,Creditbit ,0
OK,SHA-256,PoW/PoS,74676064.9488608,105000000,-0.3057074821189823,0.8514776825774923,-0.3089477133750391,OKCash,0
LSK,DPoS,DPoS,120012140.0,159918400,3.7207026215847794,1.796118973606468,-0.2948707412651825,Lisk,0
XHI,Scrypt,PoS,10000244677.7002,10008835635,-0.09872682245214046,0.8198756544984843,-0.2860427360812486,HiCoin,0
XWC,Scrypt,PoW/PoS,252005564.19257,300000000,-0.3211949806686989,0.9806379020917946,-0.5639958266196905,WhiteCoin,0
FSC,NeoScrypt,PoW/PoS,1120385.00502,60168145,-0.34265290715914587,0.4713904029349754,-0.34550510545783175,FriendshipCoin,0
J,Multiple,PoW,3332922.5,2800000,-0.1386932284290486,-1.7812480975869873,0.3369535409029879,JoinCoin,1
TRI,X13,PoW/PoS,140777.753365,120000,-0.2675358902569599,1.788303559523671,-0.5195715873203127,Triangles Coin,0
VOLLAR,Equihash+Scrypt,PoW,100000000.0,2100000000,-0.1195634007486353,-2.18483013813985,0.28223438647554877,Vollar,1
EOS,DPoS,DPoS,1020544523.0722,0,3.7305741321634356,1.7966083923269789,-0.29507870075367554,EOS,0
RCC,Ethash,PoW,24487944.0958204,24487944,-0.16663493932314286,-1.972192781312434,0.3861550095512278,Reality Clash,1
OXY,DPoS,DPoS,1122382283.37,0,3.731818606896367,1.7966552488334318,-0.29510346968069107,Oxycoin,0
TCH,SHA-256,PoS,1000000000.0,1000000000,-0.2535098315997157,0.6907936753120181,-0.0282387357962667,TigerCash,0
WAVES,Leased POS,LPoS,100000000.0,100000000,-0.45734438964461904,4.052449110239659,20.976242130382747,Waves,3
PART,PoS,PoS,9283137.5558676,8634140,-0.36760867112192347,1.6911859018428403,-0.05082310749476261,Particl,0
BTT,TRC10,DPoS,989988713439.649,990000000000,34.059400879444304,1.894772112193331,-0.8082002453039351,BitTorrent,2
NXT,PoS,PoS/LPoS,1000000000.0,1000000000,-0.39896803741952475,1.9659001721909848,0.11774656648526012,Nxt,0
ZEPH,SHA-256,DPoS,1999999995.3056,2000000000,2.4705959084145834,0.8165511818541601,-0.12287328247710406,ZEPHYR,0
GAP,Scrypt,PoW/PoS,14931046.1546605,250000000,-0.32444636103966384,0.9805522949039984,-0.5639347051114068,Gapcoin,0
BDX,CryptoNight,PoW,980222595.0,1400222610,0.3141095846785138,-2.29868850398982,0.32839866680468033,Beldex,1
ZEN,Equihash,PoW,7296537.5,21000000,-0.1483288062568623,-1.9369326094673547,0.4227912512493816,Horizen,1
XBC,Scrypt,PoS,128326.99633965,1000000,-0.2918433613071827,0.81997278918209,-0.2829178972092643,BitcoinPlus,0
