,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
GCN,Scrypt,PoW,163055097500.0,200000000000,3.2383281593329425,-1.163035238916571,-0.12451038998379575,gCn Coin,1
SMART,Keccak,PoW,2241009149.22257,5000000000,-0.12237608843051206,-1.1818401962283342,0.1273579372381443,SmartCash,1
SIGT,SkunkHash v2 Raptor,PoS,107972766.0,137500000,-0.34694734801329885,1.6491479812615448,-0.042163671321242116,Signatum,0
ONX,X11,PoW,122475638.389743,1100000000,-0.22330254768365332,-0.8481788969229509,0.12061769419209989,Onix,1
CRM,Skein,PoW/PoS,47331802.4774238,100000000,-0.3858917612794621,1.8631732420540164,-0.6976509730177796,Cream,0
BCH,SHA-256,PoW,17995589.6469082,21000000,-0.1519858277139899,-1.2733381016532737,0.18397491345829453,Bitcoin Cash,1
XMCC,X11,PoW/PoS,12569262.5359307,9507271,-0.3873821301219707,1.2771116168796428,-0.37218313194488417,Monoeci,0
DFT,Scrypt,PoS,18663297.3489799,17405891.19707116,-0.2915006121265575,0.8199736153803395,-0.2829235406833508,Draftcoin,0
VET,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466,4.457727315586492,1.5454611908092901,7.35480083883923,Vechain,3
SOJ,Scrypt,PoW,485214.0,10500000000,-0.09698404199830746,-1.1490954597936944,-0.07173753931923764,Sojourn Coin,1
STCN,PoS,PoS,4000000.0,61599965,-0.36729792726648836,1.6911586056682795,-0.05082548815717839,Stakecoin,0
NYC,Scrypt,PoW,143006669741.687,0,1.5761750382798922,-1.0783676426867441,-0.10579275185887328,NewYorkCoin,1
FRAZ,Scrypt,PoW,9704042.0,20000000,-0.17113046176256064,-1.144171273895447,-0.07101448849144816,FrazCoin,1
KRONE,Scrypt,PoW,17453749.4042601,84000000,-0.1705822684845692,-1.1441977536434946,-0.07102080264163636,Kronecoin,1
